Doug Martin,6.73,10.69,14.52,7.35,11.37,19.48,,,5.09,4.78,8.39,4.24,2.74,11.75,,
Charles Sims,4.89,9.7,11.25,7.56,,,,,3.01,6.65,4.79,3.61,,,,
Charcandrick West,6.1,6.27,11.07,0,,,,,4.04,6.72,8.89,0,,,,
Alfred Morris,5.55,3.11,6.11,11.74,11.14,15.71,,,5.29,2.57,4.46,6.55,4.05,8.12,,
Kyle Juszczyk,5.35,4.49,6.09,3.02,0,,,,3.37,3.24,4.29,3.76,0,,,
Mike Gillislee,7.64,8.37,10.32,,2.1,,,,6.34,5.12,6.67,,0,,,
Kerwynn Williams,4.53,7.33,4.36,6.93,,,,,3.57,4.87,4.3,4.05,,,,
Jamaal Charles,5.19,4.47,20.22,16.87,25.21,15.06,9.1,17.66,3.16,5.83,6.95,8.98,10.98,9.63,6.4,6.08
Dalvin Cook,16.35,,,,,,,,7.29,,,,,,,
Damien Williams,5.96,6.23,3.47,4.83,,,,,5.13,4.09,3.04,4.92,,,,
Danny Woodhead,7.33,13.55,15.26,4.07,13.94,10.45,4.99,10.71,1.57,9.45,9.41,4.27,6.44,6.36,3.31,6.18
D'Onta Foreman,6.33,,,,,,,,6.54,,,,,,,
Benny Cunningham,5.17,3.52,4.64,7.8,3.23,,,,4.15,2.82,4.06,4.53,4.8,,,
Mike Davis,8.68,2.42,3.32,,,,,,2.56,2.71,2.27,,,,,
Mike Tolbert,4.21,2.31,5.19,3.64,7.72,7.13,13.62,12.01,2.9,3.13,4.17,2.48,4.95,6.22,7.46,7.3
Jacquizz Rodgers,3.6,9.08,1.22,5,9.43,8.84,4.39,,4.1,6.43,1.05,3.1,6.68,5.05,2.94,
Wendell Smallwood,5.84,3.89,,,,,,,5.2,4.69,,,,,,
Malcolm Brown,4.08,1.19,2.5,,,,,,3.09,1.33,0,,,,,
Alfred Blue,5.58,4.43,7.98,6.07,,,,,5.43,4.54,6.18,5.49,,,,
Rob Kelley,6.17,9.47,,,,,,,3.74,8.03,,,,,,
Corey Grant,4.66,7.18,0.3,,,,,,5.21,7.81,1.69,,,,,
Kapri Bibbs,13.57,3.55,,,,,,,4.5,4.51,,,,,,
Chris Carson,9.93,,,,,,,,2.65,,,,,,,
Travaris Cadet,5.36,7.23,7.53,5.6,4.25,1.98,,,3.86,4.09,5.42,3.39,3.05,2.32,,
DJ Foster,4.6,1.8,,,,,,,1.06,0.1,,,,,,
Elijhaa Penny,4.6,,,,,,,,2.99,,,,,,,
Thomas Rawls,3.57,8.39,10.63,,,,,,2.92,6.57,11.48,,,,,
Tion Green,6.38,,,,,,,,3.76,,,,,,,
Tommy Bohanon,3.2,,1.96,5.3,2.19,,,,3.8,,2.07,0,1.53,,,
Eddie Lacy,3.18,8.56,9.37,17.04,16.17,,,,3,2.11,7.32,8.32,7.39,,,
Terrance West,5.62,10.69,3.13,8.05,,,,,6.29,6.84,2.13,5.89,,,,
Robert Turbin,4.32,7.22,3.38,4.73,2.4,4.83,,,2.34,4.1,3.22,3.7,1.92,3,,
Kenjon Barner,2.48,3.41,4.32,,1.13,,,,2.75,2.94,2.74,,0.39,,,
Paul Perkins,3.09,5.91,,,,,,,1.46,2.47,,,,,,
CJ Ham,2.11,,,,,,,,1.47,,,,,,,
Anthony Sherman,4.14,0.85,1.85,2.17,3.44,1.48,1.03,,5.53,0.63,1.53,2.47,3.18,1.75,1.29,
Chris Johnson,5.18,3.88,9.75,7.21,15.01,13.18,14.09,17.06,2.43,4.52,7.18,5.03,7.16,7.56,6.47,8.82
Jamize Olawale,3.27,4.42,3.44,2.35,,,,,2.07,4.93,2.92,2.82,,,,
Darren Sproles,6.13,10.83,9.34,9.71,11.43,16.47,16.96,9,3.63,5.64,5.1,7.12,7.85,5.85,5.27,6.37
Fozzy Whittaker,2.19,4.51,2.71,4.69,5.99,,,,3.94,5.17,2.6,4.39,3.64,,,
Jeremy Hill,2.46,11.75,10.52,13.18,,,,,1.2,7.34,6.44,7.74,,,,
CJ Prosise,4.25,10.17,,,,,,,4.01,7.8,,,,,,
Branden Oliver,2.11,,5.83,10.38,,,,,2.25,,4.6,8.93,,,,
Stevan Ridley,8.4,0.7,1.6,8.67,9.11,12.84,3.9,,5.6,0,1.71,5.84,7.44,6.73,4.52,
Cameron Artis-Payne,3.34,9.5,5.85,,,,,,4.79,8.11,5.34,,,,,
Andy Janovich,1.63,2.67,,,,,,,2.21,2.62,,,,,,
Roosevelt Nix,3.65,2.5,1.2,,,,,,3.01,0,0.86,,,,,
James Conner,1.2,,,,,,,,0.6,,,,,,,
David Johnson,13.1,25.36,13.11,1.4,2.75,,1.69,0.54,0,8.63,9.93,0,2.64,,2.14,1.66
Tyler Ervin,4.33,0.22,,,,,,,1.97,1.82,,,,,,
Byron Marshall,4.27,5.2,,,,,,,3.43,0.4,,,,,,
Aaron Ripkowski,1.11,4.66,2.8,,,,,,0.83,4.79,0,,,,,
Lance Dunbar,6.1,3.73,12.3,3.54,3.7,3.28,,,3,2.01,5.88,2.44,3.37,1.69,,
Zach Line,1.66,0.25,3.45,,0.6,,,,2.62,0.23,2.67,,0.85,,,
Trey Edmunds,10.8,,,,,,,,0,,,,,,,
James Develin,1.23,0.96,,1.8,,,,,1.44,0.89,,1.49,,,,
Terron Ward,3.23,3.44,3.18,,,,,,1.39,2.35,4.45,,,,,
Patrick DiMarco,1.2,2.02,3.6,2.36,,,,,1.63,2,4.7,2.59,,,,
Akeem Hunt,1.34,2.8,2.79,,,,,,1.44,2.28,2.27,,,,,
Zach Zenner,1.23,8.45,2.28,,,,,,2.41,7.03,1.52,,,,,
Tre Madden,4.25,,,,,,,,3.35,,,,,,,
